model,params,int8_KB,test_acc
model_aaaaaa.h5,113659,111.0,0.916
model_aaaaac.h5,37261,36.4,0.9086
model_aaaaad.h5,69139,67.5,0.9139
model_aaaaae.h5,86032,84.0,0.9161
model_aaaaaf.h5,45217,44.2,0.9089
model_aaaaag.h5,46829,45.7,0.9051
model_aaaaah.h5,50109,48.9,0.9058
model_aaaaai.h5,114355,111.7,0.9143
model_aaaaaj.h5,64756,63.2,0.9084
model_aaaaal.h5,36007,35.2,0.9086
model_aaaaan.h5,52270,51.0,0.913
model_aaaaao.h5,55482,54.2,0.9041
model_aaaaaq.h5,69933,68.3,0.8899
model_aaaaar.h5,67435,65.9,0.9134
model_aaaaat.h5,7953,7.8,0.913
model_aaaaau.h5,5487,5.4,0.9104
model_aaaaav.h5,18318,17.9,0.8937
model_aaaaax.h5,168780,164.8,0.9127
model_aaaaay.h5,12738,12.4,0.8902
model_aaaaaz.h5,53477,52.2,0.9092
model_aaaaba.h5,50367,49.2,0.9135
model_aaaabb.h5,67485,65.9,0.9143
model_aaaabd.h5,12876,12.6,0.9039
model_aaaabe.h5,84897,82.9,0.92
model_aaaabj.h5,49819,48.7,0.8447
model_aaaabk.h5,48155,47.0,0.9141
model_aaaabl.h5,83803,81.8,0.9208
model_aaaabm.h5,16260,15.9,0.9075
model_aaaabn.h5,56487,55.2,0.9164
model_aaaabo.h5,64708,63.2,0.9126
model_aaaabp.h5,69139,67.5,0.8897
model_aaaabq.h5,22950,22.4,0.9052
model_aaaabr.h5,112867,110.2,0.9174
