model,params,int8_KB,test_acc
model_aaaaae.h5,66261,64.7,0.9003
model_aaaaah.h5,21038,20.5,0.9109
model_aaaaai.h5,63459,62.0,0.8975
model_aaaaaj.h5,55337,54.0,0.9043
model_aaaaak.h5,92179,90.0,0.9072
model_aaaaal.h5,5183,5.1,0.8832
model_aaaaam.h5,41493,40.5,0.8943
model_aaaaaq.h5,98185,95.9,0.9041
model_aaaaas.h5,48877,47.7,0.9013
model_aaaaat.h5,17492,17.1,0.9043
model_aaaaau.h5,20888,20.4,0.9096
model_aaaaav.h5,129595,126.6,0.9108
model_aaaaaw.h5,11652,11.4,0.9016
model_aaaaax.h5,94785,92.6,0.9085
model_aaaaay.h5,30076,29.4,0.8951
model_aaaaaz.h5,98243,95.9,0.9082
model_aaaaba.h5,6480,6.3,0.8841
model_aaaabb.h5,14526,14.2,0.9026
model_aaaabc.h5,18005,17.6,0.901
model_aaaabd.h5,26675,26.0,0.8985
model_aaaabe.h5,65689,64.1,0.9035
model_aaaabf.h5,68995,67.4,0.9044
model_aaaabg.h5,29018,28.3,0.9076
model_aaaabi.h5,17550,17.1,0.9006
model_aaaabj.h5,7623,7.4,0.8924
model_aaaabk.h5,45913,44.8,0.8977
model_aaaabl.h5,112103,109.5,0.903
model_aaaabm.h5,38224,37.3,0.897
model_aaaabn.h5,45419,44.4,0.9066
