model,params,int8_KB,test_mae,test_rmse
model_aaaaaa.h5,95206,93.0,0.3273,0.4965
model_aaaaab.h5,59281,57.9,0.3694,0.5478
model_aaaaac.h5,111915,109.3,0.3457,0.5326
model_aaaaad.h5,74151,72.4,0.3554,0.5356
model_aaaaae.h5,95638,93.4,0.3627,0.5435
model_aaaaaf.h5,111915,109.3,0.3504,0.5352
model_aaaaag.h5,111915,109.3,0.3447,0.5286
model_aaaaah.h5,111915,109.3,0.3487,0.5285
model_aaaaai.h5,99110,96.8,0.3422,0.5114
model_aaaaaj.h5,111240,108.6,0.3307,0.5071
model_aaaaak.h5,45973,44.9,0.3589,0.5481
model_aaaaal.h5,100504,98.1,0.3406,0.512
model_aaaaam.h5,85195,83.2,0.344,0.5186
model_aaaaan.h5,220843,215.7,0.3317,0.5086
model_aaaaao.h5,152007,148.4,0.3576,0.5347
model_aaaaap.h5,94938,92.7,0.3323,0.5058
model_aaaaaq.h5,240907,235.3,0.3452,0.5271
model_aaaaar.h5,162175,158.4,0.3423,0.5266
model_aaaaas.h5,42276,41.3,0.3619,0.5429
model_aaaaat.h5,244487,238.8,0.3352,0.5053
model_aaaaau.h5,84784,82.8,0.3601,0.541
model_aaaaav.h5,171599,167.6,0.3562,0.5515
model_aaaaaw.h5,57681,56.3,0.3634,0.5449
model_aaaaax.h5,120240,117.4,0.3195,0.4796
model_aaaaay.h5,238180,232.6,0.3547,0.533
model_aaaaaz.h5,52735,51.5,0.3472,0.5214
model_aaaaba.h5,111915,109.3,0.3519,0.5438
model_aaaabb.h5,111915,109.3,0.3465,0.5332
model_aaaabc.h5,121688,118.8,0.3535,0.541
model_aaaabd.h5,94343,92.1,0.3504,0.5199
model_aaaabe.h5,227713,222.4,0.3379,0.506
model_aaaabf.h5,110790,108.2,0.3551,0.5468
model_aaaabg.h5,61901,60.5,0.3458,0.5209
model_aaaabh.h5,229235,223.9,0.3246,0.4979
model_aaaabi.h5,224757,219.5,0.3412,0.5132
model_aaaabj.h5,38591,37.7,0.3439,0.5206
model_aaaabk.h5,69009,67.4,0.3452,0.5372
model_aaaabl.h5,10497,10.3,0.4321,0.7216
model_aaaabm.h5,85195,83.2,0.3576,0.5278
model_aaaabn.h5,50465,49.3,0.3681,0.5645
model_aaaabo.h5,232635,227.2,0.3306,0.4964
model_aaaabp.h5,66339,64.8,0.3404,0.5295
model_aaaabq.h5,112227,109.6,0.3383,0.518
model_aaaabr.h5,111291,108.7,0.3514,0.527
model_aaaabs.h5,228587,223.2,0.3341,0.505
model_aaaabt.h5,209801,204.9,0.3306,0.498
model_aaaabu.h5,105769,103.3,0.3165,0.466
model_aaaabv.h5,244635,238.9,0.3308,0.4981
model_aaaabw.h5,162175,158.4,0.3524,0.5353
model_aaaabx.h5,220654,215.5,0.3379,0.5219
model_aaaaby.h5,216603,211.5,0.3662,0.5783
model_aaaabz.h5,50341,49.2,0.3577,0.5343
model_aaaaca.h5,47924,46.8,0.362,0.5462
model_aaaacb.h5,88638,86.6,0.3435,0.5108
model_aaaacc.h5,52189,51.0,0.3595,0.5469
model_aaaacd.h5,66083,64.5,0.3655,0.5528
model_aaaace.h5,36827,36.0,0.3865,0.5737
model_aaaacf.h5,51080,49.9,0.3716,0.5538
model_aaaacg.h5,162487,158.7,0.3538,0.5441
model_aaaach.h5,66339,64.8,0.3472,0.5231
model_aaaaci.h5,171755,167.7,0.3443,0.5281
model_aaaacj.h5,58119,56.8,0.3706,0.5861
model_aaaack.h5,68885,67.3,0.3819,0.5848
model_aaaacl.h5,69799,68.2,0.3575,0.5325
model_aaaacm.h5,81651,79.7,0.3496,0.5265
model_aaaacn.h5,76143,74.4,0.3475,0.5256
model_aaaaco.h5,163473,159.6,0.3571,0.5401
model_aaaacp.h5,66910,65.3,0.3529,0.5371
model_aaaacq.h5,112227,109.6,0.3387,0.5119
model_aaaacr.h5,52037,50.8,0.3635,0.5547
model_aaaacs.h5,61343,59.9,0.3619,0.535
model_aaaact.h5,99110,96.8,0.3411,0.5205
model_aaaacu.h5,224473,219.2,0.3389,0.5094
model_aaaacv.h5,222595,217.4,0.3346,0.5054
model_aaaacw.h5,35200,34.4,0.3519,0.5255
model_aaaacx.h5,184215,179.9,0.3345,0.5103
model_aaaacy.h5,85195,83.2,0.3596,0.5374
model_aaaacz.h5,111915,109.3,0.3446,0.5395
model_aaaada.h5,104144,101.7,0.3245,0.4857
model_aaaadb.h5,224473,219.2,0.3489,0.5492
model_aaaadc.h5,67458,65.9,0.3395,0.5043
model_aaaadd.h5,85019,83.0,0.3404,0.5105
