model,params,int8_KB,test_acc,test_macro_f1
model_aaaaaa,26838,26.21,0.86846,0.86758
model_aaaaab,23749,23.19,0.87518,0.87607
model_aaaaac,89850,87.74,0.88539,0.88619
model_aaaaad,28058,27.4,0.85287,0.85586
model_aaaaae,63741,62.25,0.89283,0.89356
model_aaaaaf,63708,62.21,0.87701,0.87723
model_aaaaag,15073,14.72,0.89427,0.89474
model_aaaaah,79987,78.11,0.89516,0.89551
model_aaaaai,37077,36.21,0.87296,0.87277
model_aaaaaj,26820,26.19,0.83855,0.83184
model_aaaaak,62991,61.51,0.8895,0.88982
model_aaaaal,74649,72.9,0.86475,0.86404
model_aaaaam,88546,86.47,0.90454,0.90487
model_aaaaan,5347,5.22,0.83045,0.83186
model_aaaaao,30420,29.71,0.87857,0.8792
model_aaaaap,5347,5.22,0.91153,0.91278
model_aaaaaq,28805,28.13,0.88678,0.8874
model_aaaaar,3007,2.94,0.83089,0.83118
model_aaaaas,69344,67.72,0.88811,0.88899
model_aaaaat,35268,34.44,0.8779,0.8775
model_aaaaau,80379,78.5,0.89255,0.8926
model_aaaaav,35169,34.34,0.87801,0.8791
model_aaaaaw,28605,27.93,0.87918,0.87965
model_aaaaax,8973,8.76,0.84643,0.84725
model_aaaaay,74649,72.9,0.88817,0.88797
model_aaaaaz,64067,62.57,0.9067,0.90695
model_aaaaba,39725,38.79,0.85348,0.85379
model_aaaabb,28977,28.3,0.86319,0.86457
model_aaaabc,44009,42.98,0.86713,0.86882
model_aaaabd,8973,8.76,0.86436,0.86582
model_aaaabe,44582,43.54,0.87302,0.87384
model_aaaabf,44582,43.54,0.87274,0.87325
model_aaaabg,28977,28.3,0.85431,0.85612
model_aaaabh,74649,72.9,0.86025,0.85655
model_aaaabi,17885,17.47,0.84654,0.84818
model_aaaabj,29176,28.49,0.88079,0.88192
model_aaaabk,38166,37.27,0.89338,0.89437
model_aaaabl,43505,42.49,0.87279,0.87386
model_aaaabm,39725,38.79,0.86652,0.86559
model_aaaabn,8804,8.6,0.86258,0.86393
model_aaaabo,8963,8.75,0.88234,0.88394
model_aaaabp,57374,56.03,0.87463,0.87556
model_aaaabq,12645,12.35,0.7654,0.75836
model_aaaabr,44582,43.54,0.86591,0.86855
model_aaaabs,44117,43.08,0.89549,0.89676
model_aaaabt,41990,41.01,0.87757,0.87952
model_aaaabu,19342,18.89,0.86741,0.86869
model_aaaabv,59324,57.93,0.85376,0.85553
