model,params,int8_KB,test_mae,test_rmse
model_aaaaaa,34151,33.35,0.17651,0.29244
model_aaaaab,11927,11.65,0.18457,0.29517
model_aaaaac,34151,33.35,0.16438,0.26537
model_aaaaad,47324,46.21,0.19305,0.2952
model_aaaaae,1922,1.88,0.29073,0.41972
model_aaaaaf,81313,79.41,0.17691,0.28634
model_aaaaag,42243,41.25,0.18017,0.2826
model_aaaaah,24735,24.16,0.19896,0.31148
model_aaaaai,46935,45.83,0.18595,0.31159
model_aaaaaj,25555,24.96,0.16606,0.26401
model_aaaaak,29103,28.42,0.20499,0.3343
model_aaaaal,15379,15.02,0.28877,0.43739
model_aaaaam,80151,78.27,0.16245,0.26139
model_aaaaan,5745,5.61,0.26436,0.40343
model_aaaaao,35277,34.45,0.18677,0.3016
model_aaaaap,26266,25.65,0.18092,0.30478
model_aaaaaq,26190,25.58,0.16698,0.26955
model_aaaaar,7519,7.34,0.25241,0.38904
model_aaaaas,15609,15.24,0.48833,0.75238
model_aaaaat,47666,46.55,0.18266,0.28365
model_aaaaau,11927,11.65,0.18998,0.29228
model_aaaaav,8896,8.69,0.18232,0.28489
model_aaaaaw,27719,27.07,0.16561,0.26076
model_aaaaax,61629,60.18,0.16993,0.27878
model_aaaaay,52776,51.54,0.18354,0.29746
