val_mae,test_mae,peak_mem_B,model_size_B,macs
0.21293,0.21283,535,95075,106253
0.21662,0.21652,401,48984,51389
0.2105,0.21057,166,14636,14349
0.18435,0.18431,1800,38169,154727
0.18746,0.18741,224,26291,26403
0.22793,0.2279,402,21849,25411
0.17545,0.17542,1552,119075,221527
0.1851,0.18506,1515,22217,82595
0.19822,0.19816,367,87901,87127
0.1927,0.19262,324,105045,109969
0.18253,0.18249,2260,71383,339152
0.18437,0.18431,664,62078,96740
0.2141,0.21405,257,29819,29741
0.19349,0.19342,1340,16665,63309
0.48217,0.482,326,48511,49369
0.19643,0.19638,1218,30463,78854
0.17447,0.17441,1730,49018,294217
0.1913,0.19124,1010,47079,94731
0.19676,0.1967,963,19603,45656
0.20402,0.20392,944,7230,13590
0.18073,0.18067,452,45712,65216
0.37393,0.37392,605,67690,99660
0.21135,0.21134,188,30432,30032
0.21812,0.21803,269,17838,18927
0.21926,0.21918,470,71096,71444
0.40708,0.40697,184,4641,5419
0.2317,0.23158,436,41055,63796
0.29403,0.29392,170,6497,6596
0.18455,0.18453,430,112037,128151
0.16827,0.16825,1194,131826,259326
0.1882,0.18812,560,63996,117147
0.20223,0.20217,285,35008,40326
0.26676,0.26675,184,12521,12222
0.189,0.18893,340,47695,61512
0.21274,0.21265,230,21914,21761
0.19608,0.19599,240,17677,25996
0.19534,0.19525,344,35545,35824
0.19505,0.19498,301,19245,22468
0.42652,0.42643,223,4027,3959
0.26821,0.26814,255,46229,45974
0.191,0.19094,134,11419,11401
0.22188,0.22184,1800,48236,122420
0.16809,0.16804,768,68919,136343
0.22096,0.22084,351,25806,28307
0.19296,0.19287,528,49003,58532
0.26422,0.2641,266,1971,5184
0.27434,0.27425,326,21713,21656
0.1801,0.18005,1410,38521,92117
0.19709,0.19704,945,30753,82810
0.37213,0.37199,71,953,1151
0.18123,0.1812,1800,37476,151277
0.18215,0.18207,1365,38206,90257
0.45728,0.4572,224,26291,26403
0.19738,0.19733,1676,31785,117741
0.22357,0.22355,274,18833,19917
0.20826,0.20816,944,7194,13555
0.17585,0.17584,1552,120059,222508
0.19041,0.19036,135,11529,11510
0.17074,0.17069,768,55699,123129
0.2384,0.23835,1365,57838,104625
0.2473,0.24719,266,3358,6571
0.17734,0.17729,452,45712,65216
0.20339,0.20331,826,7171,13177
0.16532,0.16528,768,68919,128615
0.21733,0.21722,885,6876,11997
0.19227,0.19221,136,11655,11635
0.16807,0.16804,768,68355,128057
0.18524,0.18525,136,11655,11635
0.16958,0.16955,1194,130512,256188
0.29993,0.29989,119,4440,4485
0.17013,0.1701,975,64103,106305
0.19942,0.1994,136,11655,11635
0.17823,0.17817,1410,38996,92582
0.20414,0.20405,135,11529,11510
0.26931,0.2692,86,2247,2376
0.16363,0.1636,768,68355,128057
0.17153,0.17151,1800,37476,151277
0.19216,0.1921,340,47695,61512
0.1821,0.18206,1800,37864,151664
0.16813,0.16809,768,68325,128024
0.32281,0.32269,123,3865,4011
0.1651,0.16507,768,68355,128057
0.16822,0.16819,738,67878,126257
0.18602,0.18595,228,17580,25474
0.18618,0.18615,1800,37476,151277
0.32454,0.32461,173,13995,14245
0.19257,0.19251,205,15652,17285
0.17072,0.17068,975,64103,106305
0.18598,0.1859,1410,38521,92117
0.19104,0.19099,205,15982,17612
0.16917,0.16913,768,68129,127944
0.16733,0.16729,768,68325,128024
0.20237,0.20226,826,7171,13177
0.21343,0.21332,885,8214,13279
0.16508,0.16505,768,68325,128024
0.17014,0.1701,975,64291,106491
0.33285,0.33282,136,11655,11635
0.1934,0.19332,136,11728,11707
0.20716,0.20706,826,7057,13066
0.1909,0.19083,228,18340,26324
0.18547,0.1854,1410,38339,90500
0.25881,0.2587,86,2247,2376
0.1676,0.16758,768,68293,127996
0.22162,0.22151,885,7066,12182
0.17812,0.17806,452,45712,65216
0.17338,0.17333,975,59110,101409
0.21021,0.21008,166,7120,10024
0.16564,0.16561,768,70157,191842
0.27114,0.27104,85,2228,2358
0.18434,0.18429,205,15982,17612
0.18827,0.18822,230,17677,19662
0.18475,0.18469,422,25326,43566
0.20241,0.20232,826,4779,10822
0.20616,0.20607,826,5594,11632
0.18611,0.18605,264,17871,27040
0.16967,0.16963,796,64685,122620
0.16316,0.16314,768,77515,137165
0.18613,0.18607,412,24987,42426
0.18138,0.18132,1410,38521,92117
0.16504,0.16501,768,68802,129824
0.22071,0.22065,137,11781,11760
0.19516,0.19512,230,17677,19662
0.16439,0.16437,768,77515,137165
0.20579,0.2057,826,11826,17602
0.16521,0.16519,684,75393,121775
0.16686,0.16682,975,61335,107452
0.1654,0.16537,768,68616,129641
0.16367,0.16366,768,77515,137165
0.19073,0.19066,228,17580,25408
0.20015,0.2001,230,12527,14585
0.17085,0.17082,975,64291,106491
0.211,0.2109,826,11934,17707
0.20019,0.20013,294,18351,32121
0.1842,0.18415,205,15982,17612
0.26764,0.26753,205,5657,7466
0.16217,0.16214,768,77515,137165
0.18091,0.18083,1410,38339,90500
0.18625,0.1862,346,34787,51430
0.18402,0.18397,264,24953,34056
0.17207,0.17203,975,59110,101409
0.19238,0.1923,412,20315,38010
0.18779,0.18772,422,11088,29337
0.21731,0.21721,166,5935,7034
0.16237,0.16234,768,68502,128200
0.20478,0.20468,422,8180,26745
0.18485,0.18481,205,15757,17390
0.19123,0.19117,205,15982,17612
0.20297,0.20289,885,7030,12147
0.18982,0.18977,205,21812,23389
0.19089,0.19084,205,15037,16672
