model,params,int8_KB,test_acc
model_aaaaab.h5,99800,97.5,0.8988
model_aaaaad.h5,72605,70.9,0.904
model_aaaaag.h5,35424,34.6,0.903
model_aaaaah.h5,198995,194.3,0.9007
model_aaaaai.h5,124019,121.1,0.8925
model_aaaaal.h5,62831,61.4,0.9056
model_aaaaam.h5,41493,40.5,0.8993
model_aaaaao.h5,94896,92.7,0.9076
model_aaaaaq.h5,36099,35.3,0.8964
model_aaaaar.h5,21206,20.7,0.9068
model_aaaaas.h5,44199,43.2,0.8859
model_aaaaat.h5,220769,215.6,0.9055
model_aaaaav.h5,110963,108.4,0.9061
model_aaaaaw.h5,23723,23.2,0.9007
model_aaaaay.h5,66707,65.1,0.9063
model_aaaaaz.h5,34429,33.6,0.8994
model_aaaaba.h5,5351,5.2,0.9013
model_aaaabc.h5,100074,97.7,0.907
model_aaaabd.h5,32720,32.0,0.9019
model_aaaabe.h5,10650,10.4,0.9026
model_aaaabg.h5,6480,6.3,0.8868
model_aaaabh.h5,10105,9.9,0.9001
model_aaaabj.h5,83363,81.4,0.8954
model_aaaabk.h5,45913,44.8,0.8977
model_aaaabl.h5,112103,109.5,0.903
model_aaaabm.h5,38224,37.3,0.897
model_aaaabn.h5,45419,44.4,0.9066
