model,params,int8_KB,test_mae,test_rmse
model_aaaaaa.h5,162138,158.3,0.3486,0.5267
model_aaaaac.h5,230345,224.9,0.3896,0.5884
model_aaaaae.h5,134925,131.8,0.3878,0.6077
model_aaaaaj.h5,55015,53.7,0.4552,0.6744
model_aaaaal.h5,128103,125.1,0.3742,0.5839
model_aaaaao.h5,121899,119.0,0.3324,0.5079
model_aaaaaq.h5,211819,206.9,0.3971,0.5954
model_aaaaar.h5,65311,63.8,0.3296,0.5069
model_aaaaas.h5,84743,82.8,0.3249,0.5005
model_aaaaau.h5,112071,109.4,0.3398,0.5256
model_aaaaav.h5,115737,113.0,0.3283,0.5023
model_aaaaaw.h5,64714,63.2,0.3284,0.4959
model_aaaaay.h5,152896,149.3,0.3295,0.514
model_aaaaaz.h5,220651,215.5,0.3309,0.4985
model_aaaabb.h5,49601,48.4,0.3605,0.5654
model_aaaabc.h5,41494,40.5,0.3398,0.5325
model_aaaabd.h5,48919,47.8,0.3376,0.5103
model_aaaabe.h5,117014,114.3,0.3292,0.5014
model_aaaabf.h5,232148,226.7,0.4381,0.646
model_aaaabg.h5,41432,40.5,0.352,0.5452
model_aaaabh.h5,80949,79.1,0.3293,0.5074
model_aaaabi.h5,111735,109.1,0.3336,0.5086
model_aaaabj.h5,111915,109.3,0.3285,0.505
model_aaaabl.h5,49956,48.8,0.3363,0.5051
model_aaaabm.h5,213757,208.7,0.3996,0.603
model_aaaabn.h5,134313,131.2,0.3842,0.5924
model_aaaabo.h5,65435,63.9,0.3355,0.546
model_aaaabp.h5,142298,139.0,0.34,0.5141
model_aaaabq.h5,134772,131.6,0.3949,0.6025
model_aaaabr.h5,111821,109.2,0.3312,0.5218
model_aaaabs.h5,111291,108.7,0.3483,0.5267
model_aaaabt.h5,111525,108.9,0.3409,0.5218
model_aaaabu.h5,64255,62.7,0.3305,0.5033
