model,params,int8_KB,test_mae,test_rmse
model_aaaaad.h5,72729,71.0,0.3247,0.5074
model_aaaaah.h5,35624,34.8,0.3362,0.5173
model_aaaaai.h5,199381,194.7,0.3272,0.506
model_aaaaaj.h5,131199,128.1,0.3449,0.5424
model_aaaaal.h5,128478,125.5,0.3235,0.5016
model_aaaaan.h5,76383,74.6,0.3064,0.4852
model_aaaaao.h5,41803,40.8,0.3202,0.4914
model_aaaaap.h5,94938,92.7,0.323,0.5039
model_aaaaar.h5,35999,35.2,0.3172,0.4948
model_aaaaas.h5,20934,20.4,0.3384,0.5065
model_aaaaau.h5,46981,45.9,0.3622,0.5462
model_aaaaav.h5,220651,215.5,0.2899,0.4474
model_aaaaaw.h5,41302,40.3,0.3191,0.4975
model_aaaaay.h5,111759,109.1,0.2943,0.4585
model_aaaabb.h5,66365,64.8,0.3008,0.4623
model_aaaabc.h5,34571,33.8,0.3113,0.4803
model_aaaabd.h5,55441,54.1,0.3075,0.4912
model_aaaabe.h5,100504,98.1,0.3053,0.47
model_aaaabi.h5,9993,9.8,0.3327,0.4967
model_aaaabj.h5,225411,220.1,0.2981,0.4587
model_aaaabk.h5,51085,49.9,0.3236,0.514
model_aaaabl.h5,21282,20.8,0.3312,0.5044
model_aaaabm.h5,66365,64.8,0.306,0.4735
model_aaaabo.h5,213745,208.7,0.3379,0.528
model_aaaabp.h5,128544,125.5,0.3474,0.5333
model_aaaabq.h5,52981,51.7,0.3086,0.4823
model_aaaabr.h5,10479,10.2,0.3481,0.5724
model_aaaabs.h5,55164,53.9,0.3077,0.471
