model,params,int8_KB,test_mae,test_rmse
model_aaaaaa.h5,53911,52.6,0.3412,0.5087
model_aaaaab.h5,8101,7.9,0.4022,0.6156
model_aaaaac.h5,57427,56.1,0.3161,0.4916
model_aaaaad.h5,30515,29.8,0.3391,0.5266
model_aaaaae.h5,61681,60.2,0.3231,0.4988
model_aaaaaf.h5,72811,71.1,0.3244,0.5131
model_aaaaag.h5,39445,38.5,0.3407,0.518
model_aaaaah.h5,50129,49.0,0.3174,0.4861
model_aaaaai.h5,54097,52.8,0.3258,0.4975
model_aaaaaj.h5,53401,52.1,0.3224,0.4879
model_aaaaak.h5,51605,50.4,0.3246,0.5038
model_aaaaal.h5,52823,51.6,0.326,0.4956
model_aaaaam.h5,51925,50.7,0.3311,0.5043
model_aaaaan.h5,56443,55.1,0.3152,0.4776
model_aaaaao.h5,43351,42.3,0.3329,0.5118
model_aaaaap.h5,55861,54.6,0.3393,0.5094
model_aaaaaq.h5,40778,39.8,0.3245,0.5034
model_aaaaar.h5,55441,54.1,0.3224,0.4898
model_aaaaas.h5,55889,54.6,0.332,0.5102
model_aaaaat.h5,43351,42.3,0.331,0.5103
model_aaaaau.h5,74341,72.6,0.3094,0.4728
model_aaaaav.h5,55441,54.1,0.3208,0.4819
model_aaaaaw.h5,58501,57.1,0.3226,0.4954
model_aaaaax.h5,38161,37.3,0.3393,0.5099
model_aaaaay.h5,68301,66.7,0.3215,0.4872
model_aaaaaz.h5,85172,83.2,0.3553,0.5434
model_aaaaba.h5,62508,61.0,0.3165,0.4849
model_aaaabb.h5,44461,43.4,0.3415,0.5006
model_aaaabc.h5,38403,37.5,0.3365,0.5212
model_aaaabd.h5,103633,101.2,0.3278,0.502
model_aaaabe.h5,57831,56.5,0.3131,0.4796
model_aaaabf.h5,55951,54.6,0.3141,0.4718
model_aaaabg.h5,44461,43.4,0.3253,0.5041
model_aaaabh.h5,58349,57.0,0.3359,0.5039
model_aaaabi.h5,25663,25.1,0.3534,0.5282
model_aaaabj.h5,59543,58.1,0.3077,0.475
model_aaaabk.h5,54161,52.9,0.3089,0.4703
model_aaaabl.h5,51093,49.9,0.3051,0.4721
model_aaaabm.h5,57991,56.6,0.307,0.4691
model_aaaabn.h5,50921,49.7,0.3346,0.5027
model_aaaabo.h5,52726,51.5,0.3232,0.4915
model_aaaabp.h5,72641,70.9,0.3165,0.4863
model_aaaabq.h5,60031,58.6,0.3043,0.4677
model_aaaabr.h5,85307,83.3,0.3119,0.4885
model_aaaabs.h5,58641,57.3,0.3252,0.4965
model_aaaabt.h5,68021,66.4,0.3336,0.5159
model_aaaabu.h5,58993,57.6,0.3189,0.4808
model_aaaabv.h5,5621,5.5,0.3882,0.5793
model_aaaabw.h5,67993,66.4,0.3077,0.4713
model_aaaabx.h5,54931,53.6,0.3259,0.4972
model_aaaaby.h5,55953,54.6,0.3322,0.5087
model_aaaabz.h5,54807,53.5,0.3343,0.5076
model_aaaaca.h5,57025,55.7,0.3369,0.5155
model_aaaacb.h5,65871,64.3,0.3169,0.4827
model_aaaacc.h5,90041,87.9,0.348,0.5308
model_aaaacd.h5,58106,56.7,0.3198,0.4843
model_aaaace.h5,59283,57.9,0.331,0.4999
model_aaaacf.h5,74789,73.0,0.3246,0.4937
model_aaaacg.h5,42203,41.2,0.3524,0.5375
model_aaaach.h5,68207,66.6,0.343,0.5222
model_aaaaci.h5,6379,6.2,0.3423,0.4862
model_aaaacj.h5,53401,52.1,0.3273,0.5102
model_aaaack.h5,53463,52.2,0.33,0.5033
model_aaaacl.h5,53667,52.4,0.3142,0.4867
model_aaaacm.h5,55185,53.9,0.3233,0.4913
model_aaaacn.h5,77127,75.3,0.311,0.4707
model_aaaaco.h5,68207,66.6,0.3114,0.4708
model_aaaacp.h5,55441,54.1,0.3247,0.4998
model_aaaacq.h5,55441,54.1,0.3268,0.4932
model_aaaacr.h5,30515,29.8,0.3277,0.5038
model_aaaacs.h5,11491,11.2,0.3786,0.5512
model_aaaact.h5,60218,58.8,0.3153,0.4801
model_aaaacu.h5,44267,43.2,0.3241,0.4824
model_aaaacv.h5,55951,54.6,0.3277,0.5128
model_aaaacw.h5,55671,54.4,0.3088,0.4809
model_aaaacx.h5,5727,5.6,0.335,0.4877
model_aaaacy.h5,171681,167.7,0.3116,0.4651
model_aaaacz.h5,53911,52.6,0.3364,0.5005
model_aaaada.h5,54475,53.2,0.3336,0.5181
model_aaaadb.h5,44461,43.4,0.3386,0.4972
model_aaaadc.h5,193372,188.8,0.3149,0.4708
model_aaaadd.h5,56461,55.1,0.3263,0.4984
model_aaaade.h5,52781,51.5,0.3082,0.473
model_aaaadf.h5,142875,139.5,0.3082,0.4674
model_aaaadg.h5,151886,148.3,0.342,0.5145
model_aaaadh.h5,55671,54.4,0.3212,0.4893
model_aaaadi.h5,62768,61.3,0.3077,0.4642
model_aaaadj.h5,171681,167.7,0.3106,0.4681
model_aaaadk.h5,44461,43.4,0.3306,0.4988
model_aaaadl.h5,52861,51.6,0.3297,0.5005
